"REGAL";"Fach";"Anzahl_Fahrpositionen";"A";"B";"C"
"16";1;19;12;7;0
"16";2;26;14;12;0
"16";3;12;6;6;0
"16";4;23;13;9;1
"16";5;11;3;7;1
"16";6;13;6;7;0
"16";7;22;15;7;0
"16";8;15;9;6;0
"16";9;10;6;3;1
"16";10;19;12;6;1
"16";11;12;9;2;1
"16";12;14;8;6;0
"16";13;18;12;6;0
"16";14;14;9;5;0
"16";15;24;14;8;1
"16";16;34;19;13;2
"16";17;17;9;8;0
"16";18;11;6;5;0
"16";19;25;13;12;0
"16";20;23;19;4;0
"16";21;16;11;4;1
"16";22;14;7;7;0
"16";23;18;6;11;0
"16";24;15;9;6;0
"16";25;21;14;7;0
"16";26;28;16;11;1
"16";27;12;6;6;0
"16";28;13;8;5;0
"16";29;12;5;6;1
"16";30;13;7;6;0
"16";31;8;6;1;1
"16";32;9;5;3;1
"16";33;4;2;1;1
"16";34;9;6;3;0
"16";35;17;6;9;1
"16";36;14;7;6;1
"16";37;14;9;5;0
"16";38;10;6;4;0
"16";39;16;11;4;1
"16";40;3;0;3;0
"16";41;17;12;5;0
"16";42;9;4;3;1
"16";43;1;0;1;0
"16";44;2;2;0;0
"16";45;2;1;1;0
"16";46;2;0;1;0
"16";47;5;3;1;1
"16";48;0;0;0;0
"16";49;7;4;2;1
"16";50;7;7;0;0
"16";51;15;13;2;0
"16";52;14;10;3;1
"16";53;16;13;3;0
"16";54;7;1;5;1
"16";55;18;13;5;0
"16";56;15;12;2;1
"16";57;12;5;5;0
"16";58;14;7;4;0
"16";59;11;6;5;0
"16";60;17;9;6;1
"16";61;17;15;2;0
"16";62;12;10;2;0
"16";63;6;5;0;0
"16";64;14;9;5;0
"16";65;14;11;3;0
"16";66;14;11;3;0
"16";67;8;6;2;0
"16";68;14;13;0;0
"16";69;5;3;2;0
"16";70;6;3;3;0
"16";71;10;3;6;1
"16";72;13;4;9;0
"16";73;7;5;2;0
"16";74;6;3;2;1
"16";75;10;3;6;1
"16";76;4;3;1;0
"16";77;4;3;1;0
"17";1;18;11;7;0
"17";2;14;7;7;0
"17";3;12;7;5;0
"17";4;11;7;4;0
"17";5;11;7;3;1
"17";6;29;18;10;1
"17";7;7;1;6;0
"17";8;6;5;0;0
"17";9;10;2;8;0
"17";10;4;2;2;0
"17";11;11;5;6;0
"17";12;17;7;9;1
"17";13;7;1;5;1
"17";14;13;6;6;1
"17";15;12;5;7;0
"17";16;9;7;2;0
"17";17;6;2;3;1
"17";18;5;5;0;0
"17";19;12;8;2;2
"17";20;8;5;3;0
"17";21;7;5;2;0
"17";22;7;4;2;1
"17";23;5;2;3;0
"17";24;9;7;1;1
"17";25;5;1;4;0
"17";26;6;4;2;0
"17";27;13;9;4;0
"17";28;11;7;4;0
"17";29;13;7;6;0
"17";30;10;8;2;0
"17";31;11;8;3;0
"17";32;9;4;5;0
"17";33;15;13;2;0
"17";34;12;8;4;0
"17";35;14;5;9;0
"17";36;10;6;4;0
"17";37;6;2;4;0
"17";38;11;7;4;0
"17";39;17;14;1;2
"17";40;15;10;5;0
"17";41;12;5;5;2
"17";42;13;12;1;0
"17";43;6;3;2;1
"17";44;2;1;1;0
"17";45;3;3;0;0
"17";46;3;2;1;0
"17";47;10;3;7;0
"17";48;11;8;3;0
"17";49;5;3;2;0
"17";50;9;6;2;1
"17";51;12;6;6;0
"17";52;12;10;2;0
"17";53;10;2;6;2
"17";54;8;6;2;0
"17";55;5;3;2;0
"17";56;16;14;2;0
"17";57;12;6;6;0
"17";58;15;13;2;0
"17";59;11;6;3;2
"17";60;14;7;6;1
"17";61;10;7;3;0
"17";62;9;4;5;0
"17";63;13;9;3;1
"17";64;9;7;2;0
"17";65;9;5;3;1
"17";66;9;5;3;1
"17";67;13;9;4;0
"17";68;9;7;2;0
"17";69;7;4;3;0
"17";70;9;6;3;0
"17";71;10;9;1;0
"17";72;8;5;3;0
"17";73;10;4;4;1
"17";74;8;6;2;0
"17";75;10;7;3;0
"17";76;11;7;3;1
"17";77;8;4;4;0
"17";78;6;4;2;0
"17";79;4;2;1;1
"17";80;8;6;1;1
"17";81;10;7;3;0
"18";1;17;10;6;1
"18";2;18;14;2;2
"18";3;23;14;9;0
"18";4;7;5;2;0
"18";5;12;4;7;1
"18";6;24;15;7;2
"18";7;23;17;6;0
"18";8;16;10;5;1
"18";9;27;12;13;2
"18";10;11;6;5;0
"18";11;24;14;10;0
"18";12;11;7;3;0
"18";13;6;3;3;0
"18";14;11;4;7;0
"18";15;16;4;11;1
"18";16;18;10;8;0
"18";17;15;9;5;1
"18";18;13;9;4;0
"18";19;9;8;1;0
"18";20;10;5;5;0
"18";21;19;11;8;0
"18";22;14;7;7;0
"18";23;10;6;4;0
"18";24;7;4;2;1
"18";25;9;7;2;0
"18";26;5;3;2;0
"18";27;13;9;4;0
"18";28;12;9;2;1
"18";29;9;5;4;0
"18";30;7;2;4;0
"18";31;18;11;6;1
"18";32;14;6;7;1
"18";33;14;11;2;0
"18";34;5;2;3;0
"18";35;8;5;3;0
"18";36;10;6;4;0
"18";37;8;4;3;1
"18";38;8;7;1;0
"18";39;6;4;2;0
"18";40;15;7;6;2
"18";41;9;9;0;0
"18";42;15;7;8;0
"18";43;3;1;2;0
"18";44;6;3;3;0
"18";45;2;2;0;0
"18";46;7;4;3;0
"18";47;13;7;6;0
"18";48;9;6;3;0
"18";49;12;10;2;0
"18";50;9;4;4;1
"18";51;12;9;2;0
"18";52;18;13;5;0
"18";53;9;7;2;0
"18";54;23;13;10;0
"18";55;12;8;4;0
"18";56;13;8;5;0
"18";57;9;7;2;0
"18";58;10;7;3;0
"18";59;13;10;2;1
"18";60;18;14;4;0
"18";61;22;15;7;0
"18";62;14;11;2;1
"18";63;11;10;1;0
"18";64;11;6;4;1
"18";65;4;0;4;0
"18";66;11;6;5;0
"18";67;11;9;2;0
"18";68;13;9;4;0
"18";69;9;8;1;0
"18";70;8;6;2;0
"18";71;6;5;1;0
"18";72;12;8;2;2
"18";73;7;5;2;0
"18";74;5;5;0;0
"18";75;8;5;2;1
"18";76;6;4;2;0
"18";77;10;6;4;0
"18";78;10;6;4;0
"18";79;10;7;2;1
"18";80;10;6;4;0
"18";81;12;8;4;0
"18";82;9;5;3;1
"18";83;10;5;5;0
"19";1;8;4;4;0
"19";2;3;2;1;0
"19";3;10;6;3;1
"19";4;17;12;5;0
"19";5;15;13;2;0
"19";6;8;4;4;0
"19";7;13;4;9;0
"19";8;4;3;1;0
"19";9;5;3;1;1
"19";10;8;3;4;1
"19";11;8;3;4;1
"19";12;10;8;2;0
"19";13;12;9;3;0
"19";14;10;5;4;1
"19";15;8;4;3;1
"19";16;8;5;3;0
"19";17;6;3;2;1
"19";18;14;5;8;1
"19";19;8;4;2;1
"19";20;3;2;1;0
"19";21;4;3;1;0
"19";22;10;8;2;0
"19";23;18;12;6;0
"19";24;3;1;2;0
"19";25;8;7;1;0
"19";26;4;2;2;0
"19";27;12;7;5;0
"19";28;10;7;2;1
"19";29;9;6;2;1
"19";30;8;5;3;0
"19";31;12;7;4;1
"19";32;9;7;2;0
"19";33;7;3;3;1
"19";34;4;2;2;0
"19";35;8;6;2;0
"19";36;10;5;5;0
"19";37;8;6;2;0
"19";38;9;7;1;1
"19";39;8;5;3;0
"19";40;3;1;2;0
"19";41;12;10;2;0
"19";42;4;1;3;0
"19";43;5;4;1;0
"19";44;4;3;1;0
"19";45;3;2;1;0
"19";46;3;1;2;0
"19";47;8;3;5;0
"19";48;7;4;2;1
"19";49;6;3;3;0
"19";50;6;3;2;1
"19";51;8;3;5;0
"19";52;3;2;1;0
"19";53;8;3;5;0
"19";54;8;2;6;0
"19";55;3;2;1;0
"19";56;6;3;2;1
"19";57;6;5;1;0
"19";58;9;6;3;0
"19";59;1;1;0;0
"19";60;6;4;1;1
"19";61;3;2;1;0
"19";62;6;1;5;0
"19";63;7;7;0;0
"19";64;6;5;1;0
"19";65;2;1;1;0
"19";66;3;2;1;0
"19";67;3;2;0;1
"19";68;3;0;3;0
"19";69;5;4;1;0
"19";70;2;0;2;0
"19";71;6;4;1;1
"19";72;3;3;0;0
"19";73;3;2;1;0
"19";74;5;3;1;1
"19";75;9;4;4;1
"19";76;5;3;2;0
"19";77;5;3;1;1
"19";78;2;1;1;0
"19";79;3;1;2;0
"19";80;5;2;2;1
"19";81;3;2;1;0
"19";82;3;2;0;1
"19";83;2;2;0;0
"20";1;12;3;8;1
"20";2;18;8;8;2
"20";3;5;3;2;0
"20";4;10;4;6;0
"20";5;8;4;4;0
"20";6;11;8;3;0
"20";7;9;6;3;0
"20";8;8;5;3;0
"20";9;11;7;4;0
"20";10;15;7;8;0
"20";11;6;3;3;0
"20";12;19;15;4;0
"20";13;9;5;4;0
"20";14;13;9;4;0
"20";15;14;8;5;1
"20";16;10;8;2;0
"20";17;7;5;1;1
"20";18;16;6;8;2
"20";19;17;9;8;0
"20";20;9;5;2;1
"20";21;10;6;3;1
"20";22;11;5;6;0
"20";23;11;6;4;1
"20";24;5;2;3;0
"20";25;17;12;4;1
"20";26;11;7;2;0
"20";27;9;4;5;0
"20";28;4;3;1;0
"20";29;5;4;1;0
"20";30;6;3;3;0
"20";31;3;3;0;0
"20";32;7;6;1;0
"20";33;10;10;0;0
"20";34;13;6;6;1
"20";35;3;1;2;0
"20";36;5;2;3;0
"20";37;5;4;1;0
"20";38;13;10;3;0
"20";39;4;3;1;0
"20";40;11;3;8;0
"20";41;18;14;3;1
"20";42;8;6;2;0
"20";43;8;4;4;0
"20";44;4;4;0;0
"20";45;4;2;2;0
"20";46;2;1;0;1
"20";47;1;0;1;0
"20";48;1;1;0;0
"20";49;2;1;0;1
"20";50;4;4;0;0
"20";51;5;3;1;1
"20";52;4;4;0;0
"20";53;8;3;4;1
"20";54;2;2;0;0
"20";55;6;2;2;2
"20";56;6;3;2;1
"20";57;1;0;1;0
"20";58;5;2;1;2
"20";59;5;4;1;0
"20";60;15;11;3;1
"20";61;4;2;2;0
"20";62;4;4;0;0
"20";63;7;4;2;1
"20";64;7;3;4;0
"20";65;6;4;2;0
"20";66;5;2;2;1
"20";67;1;0;0;0
"20";68;4;2;2;0
"20";69;8;5;3;0
"20";70;7;5;2;0
"20";71;4;3;1;0
"20";72;10;8;2;0
"20";73;2;1;1;0
"20";74;3;3;0;0
"20";75;3;1;2;0
"20";76;4;1;3;0
"20";77;5;3;2;0
"20";78;7;4;3;0
"20";79;3;1;2;0
"20";80;4;2;2;0
"20";81;2;0;2;0
"20";82;3;2;0;1
"20";83;2;2;0;0
"20";84;4;3;1;0
"21";1;5;5;0;0
"21";2;11;9;2;0
"21";3;7;2;2;1
"21";4;8;5;3;0
"21";5;8;6;2;0
"21";6;7;4;1;2
"21";7;5;2;3;0
"21";8;12;9;3;0
"21";9;6;3;2;1
"21";10;12;7;5;0
"21";11;9;1;7;1
"21";12;2;2;0;0
"21";13;10;6;3;1
"21";14;12;10;1;1
"21";15;24;15;7;2
"21";16;13;8;5;0
"21";17;8;6;2;0
"21";18;5;1;4;0
"21";19;1;0;1;0
"21";20;3;1;2;0
"21";21;5;4;1;0
"21";22;8;5;3;0
"21";23;5;2;2;1
"21";24;6;2;4;0
"21";25;1;0;1;0
"21";26;4;2;2;0
"21";27;5;3;2;0
"21";28;5;4;1;0
"21";29;6;2;4;0
"21";30;11;6;4;1
"21";31;6;5;1;0
"21";32;0;0;0;0
"21";33;7;5;2;0
"21";34;7;3;4;0
"21";35;6;4;2;0
"21";36;11;4;7;0
"21";37;6;2;4;0
"21";38;4;2;2;0
"21";39;6;3;2;0
"21";40;3;2;1;0
"21";41;3;0;3;0
"21";42;2;1;1;0
"21";43;4;2;2;0
"21";44;3;3;0;0
"21";45;3;1;2;0
"21";46;6;3;3;0
"21";47;8;6;1;1
"21";48;4;3;1;0
"21";49;1;1;0;0
"21";50;4;3;1;0
"21";51;3;2;1;0
"21";52;8;6;2;0
"21";53;8;5;3;0
"21";54;2;2;0;0
"21";55;5;3;2;0
"21";56;8;5;2;1
"21";57;6;4;2;0
"21";58;5;3;2;0
"21";59;6;3;3;0
"21";60;4;3;1;0
"21";61;7;4;2;1
"21";62;7;3;3;1
"21";63;3;1;2;0
"21";64;7;3;4;0
"21";65;4;3;1;0
"21";66;7;4;2;0
"21";67;5;3;2;0
"21";68;6;4;2;0
"21";69;5;4;1;0
"21";70;5;3;2;0
"21";71;5;3;2;0
"21";72;5;2;3;0
"21";73;5;5;0;0
"21";74;5;3;2;0
"21";75;8;7;1;0
"21";76;6;3;3;0
"21";77;6;3;3;0
"21";78;7;3;4;0
"21";79;6;4;2;0
"21";80;5;5;0;0
"21";81;3;1;1;0
"21";82;4;3;1;0
"21";83;5;2;3;0
"21";84;0;0;0;0
"22";1;10;5;4;1
"22";2;9;6;3;0
"22";3;16;5;10;1
"22";4;18;10;8;0
"22";5;9;5;4;0
"22";6;7;4;3;0
"22";7;6;3;3;0
"22";8;7;4;2;1
"22";9;16;12;3;1
"22";10;0;0;0;0
"22";11;7;3;3;1
"22";12;18;8;8;2
"22";13;7;1;6;0
"22";14;15;7;8;0
"22";15;5;3;1;1
"22";16;12;4;8;0
"22";17;16;8;7;1
"22";18;5;2;2;1
"22";19;6;1;5;0
"22";20;3;1;2;0
"22";21;16;8;7;1
"22";22;8;4;3;1
"22";23;7;3;4;0
"22";24;15;8;6;1
"22";25;12;9;2;1
"22";26;7;5;2;0
"22";27;9;4;4;1
"22";28;6;3;3;0
"22";29;6;3;3;0
"22";30;3;2;1;0
"22";31;5;1;3;1
"22";32;11;9;2;0
"22";33;5;5;0;0
"22";34;4;3;1;0
"22";35;6;2;4;0
"22";36;7;3;4;0
"22";37;6;3;3;0
"22";38;5;2;3;0
"22";39;9;5;4;0
"22";40;4;2;2;0
"22";41;5;3;2;0
"22";42;7;5;2;0
"22";43;5;1;3;1
"22";44;9;1;5;2
"22";45;5;0;5;0
"22";46;5;2;2;1
"22";47;4;3;1;0
"22";48;5;4;1;0
"22";49;3;1;2;0
"22";50;7;4;2;1
"22";51;3;2;0;1
"22";52;10;4;5;1
"22";53;9;3;5;1
"22";54;3;2;1;0
"22";55;6;5;1;0
"22";56;6;3;2;1
"22";57;4;3;0;1
"22";58;5;1;4;0
"22";59;5;2;3;0
"22";60;7;4;3;0
"22";61;3;1;2;0
"22";62;5;3;2;0
"22";63;5;3;2;0
"22";64;5;1;2;2
"22";65;2;1;1;0
"22";66;8;5;3;0
"22";67;10;3;7;0
"22";68;7;2;3;2
"22";69;3;2;0;1
"22";70;6;2;4;0
"22";71;6;2;4;0
"22";72;29;27;2;0
"22";73;4;2;2;0
"22";74;2;1;0;1
"22";75;7;3;3;1
"22";76;7;4;3;0
"22";77;4;3;1;0
"22";78;4;1;2;1
"22";79;7;3;3;1
"22";80;2;2;0;0
"22";81;6;3;3;0
"22";82;4;1;3;0
"22";83;0;0;0;0
"22";84;0;0;0;0
"23";1;10;6;3;1
"23";2;13;10;2;1
"23";3;18;13;5;0
"23";4;14;7;6;0
"23";5;2;2;0;0
"23";6;8;5;3;0
"23";7;9;5;4;0
"23";8;4;1;3;0
"23";9;15;9;6;0
"23";10;11;7;3;1
"23";11;4;2;2;0
"23";12;4;2;2;0
"23";13;1;0;1;0
"23";14;5;2;2;1
"23";15;1;0;1;0
"23";16;7;6;1;0
"23";17;8;6;2;0
"23";18;3;1;2;0
"23";19;7;6;1;0
"23";20;6;3;3;0
"23";21;4;1;3;0
"23";22;3;2;1;0
"23";23;5;2;3;0
"23";24;7;5;2;0
"23";25;18;9;7;2
"23";26;8;4;3;1
"23";27;5;3;0;2
"23";28;7;4;3;0
"23";29;6;4;2;0
"23";30;8;5;2;1
"23";31;3;1;2;0
"23";32;6;5;1;0
"23";33;13;7;6;0
"23";34;5;4;0;1
"23";35;6;5;1;0
"23";36;7;1;5;1
"23";37;4;2;2;0
"23";38;6;5;1;0
"23";39;3;2;1;0
"23";40;3;2;0;1
"23";41;5;2;3;0
"23";42;5;5;0;0
"23";43;1;0;1;0
"23";44;4;3;1;0
"23";45;1;0;1;0
"23";46;8;6;2;0
"23";47;9;8;1;0
"23";48;6;3;2;1
"23";49;9;7;1;1
"23";50;6;3;2;1
"23";51;8;5;2;1
"23";52;4;2;2;0
"23";53;4;2;2;0
"23";54;8;4;4;0
"23";55;5;2;2;1
"23";56;6;3;3;0
"23";57;4;3;1;0
"23";58;3;1;1;1
"23";59;1;1;0;0
"23";60;3;2;1;0
"23";61;4;2;0;2
"23";62;5;3;2;0
"23";63;3;2;0;1
"23";64;3;2;1;0
"23";65;1;0;0;1
"23";66;1;1;0;0
"23";67;7;6;1;0
"23";68;3;3;0;0
"23";69;1;1;0;0
"23";70;2;2;0;0
"23";71;2;2;0;0
"23";72;4;3;1;0
"23";73;3;1;1;1
"23";74;3;3;0;0
"23";75;4;3;1;0
"23";76;0;0;0;0
"23";77;2;2;0;0
"23";78;0;0;0;0
"23";79;1;1;0;0
"23";80;0;0;0;0
"23";81;3;3;0;0
"23";82;0;0;0;0
"23";83;0;0;0;0
"23";84;0;0;0;0
"24";1;8;7;0;0
"24";2;2;1;1;0
"24";3;1;1;0;0
"24";4;11;11;0;0
"24";5;3;2;1;0
"24";6;11;8;2;1
"24";7;5;4;1;0
"24";8;9;9;0;0
"24";9;17;16;1;0
"24";10;0;0;0;0
"24";11;2;2;0;0
"24";12;3;3;0;0
"24";13;13;13;0;0
"24";14;3;3;0;0
"24";15;10;10;0;0
"24";16;14;14;0;0
"24";17;17;17;0;0
"24";18;16;13;3;0
"24";19;8;7;1;0
"24";20;6;6;0;0
"24";21;5;5;0;0
"24";22;0;0;0;0
"24";23;9;9;0;0
"24";24;2;2;0;0
"24";25;9;9;0;0
"24";26;5;5;0;0
"24";27;1;1;0;0
"24";28;7;7;0;0
"24";29;5;5;0;0
"24";30;7;6;1;0
"24";31;7;6;1;0
"24";32;4;4;0;0
"24";33;3;2;1;0
"24";34;0;0;0;0
"24";35;0;0;0;0
"24";36;1;1;0;0
"24";37;2;2;0;0
"24";38;2;2;0;0
"24";39;0;0;0;0
"24";40;0;0;0;0
"24";41;0;0;0;0
"24";42;3;3;0;0
"24";43;4;4;0;0
"24";44;2;2;0;0
"24";45;3;3;0;0
"24";46;0;0;0;0
"24";47;1;1;0;0
"24";48;17;17;0;0
"24";49;7;7;0;0
"24";50;11;11;0;0
"24";51;4;4;0;0
"24";52;7;7;0;0
"24";53;5;4;0;1
"24";54;8;8;0;0
"24";55;3;3;0;0
"24";56;9;7;2;0
"24";57;2;2;0;0
"24";58;0;0;0;0
"24";59;5;5;0;0
"24";60;1;1;0;0
"24";61;2;2;0;0
"24";62;4;4;0;0
"24";63;1;1;0;0
"24";64;5;3;2;0
"24";65;1;1;0;0
"24";66;4;3;1;0
"24";67;5;5;0;0
"24";68;1;1;0;0
"24";69;3;0;3;0
"24";70;0;0;0;0
"24";71;0;0;0;0
"24";72;0;0;0;0
"24";73;0;0;0;0
"24";74;1;0;1;0
"24";75;9;2;7;0
"24";76;1;0;1;0
"24";77;0;0;0;0
"24";78;0;0;0;0
"24";79;0;0;0;0
"24";80;0;0;0;0
"24";81;0;0;0;0
"24";82;0;0;0;0
