"UPALNR";"ARTIKELNR";"Reichweite_Tage"
"8079911883";R000000892;0
"8364580169";"05343100ET0001";0
"8353312740";R902120458;0
"8363740939";"07742500ET0001";0
"8343883861";R910109789;0
"8364872936";"02785560ET0001";0
"8362383434";"08356500ET0001";0
"8341546966";R910993591;0
"8364152892";"05674010ET0025";0
"8361983932";R902191400;0
"8350427782";R902120458;0
"8365058810";"00363400ET0001";0
"8365230803";"04565700ET0001";0
"8363005601";"04539700ET0001";0
"8364204010";"05845800ET0010";0
"8363757302";"06421200ET0001";0
"1039091489";"03299100ET0001";0
"8365506052";"04920600ET0001";0
"8363146960";"03801700ET0001";0
"8364854239";"08288070ET0001";0
"8347317225";R910911739;0
"8362362767";"03622810ET0001";0
"8364367623";"02689800ET0001";0
"8363463630";"08045260ET0001";0
"8310956598";R000000892;0
"8333547568";R902443524;0
"8362600074";"03744200ET0001";0
"8364357334";"01522200ET0001";0
"8361753450";"08356340ET0001";0
"1039091434";"09405800ET0001";0
"8363086501";"01526300ET0006";0
"8362938030";"07172200ET0001";0
"8364030435";R000000892;0
"8365144933";R902100179;0
"8365225236";"06486610ET0012";0
"8363912633";"06325800ET0001";0
"8365560863";"03305600ET0001";0
"8361736095";"02839900ET0001";0
"1039539240";"000000000000157024";0
"8363272928";"08521100ET0001";0
"8365093644";"06275320ET0005";0
"8364488366";"03465200ET0001";0
"8361894818";R902118910;0
"8364015081";"05458000ET0001";0
"8364586352";"00406060ET0001";0
"8348111495";R910961029;0
"8364832787";"04220900ET0025";0
"8364728400";"06988000ET0001";0
"8361776985";"03827110ET0001";0
"8365481250";R902021905;0
"8364354609";"01306920ET0001";0
"1039552768";"01802700ET0001";0
"8363652683";"08342700ET0001";0
"8363660329";"06324300ET0001";0
"8364343009";"03924900ET0001";0
"8363669452";"07519700ET0001";0
"8356730602";R000000892;0
"8364585843";"03607510ET0001";0
"8363442550";"05871500ET0001";0
"8364042599";"07281700ET0001";0
"8344784419";R902514804;0
"8365088930";"04860100ET0001";0
"8365449762";"04511000ET0001";0
"8364616486";"04920500ET0001";0
"8364641631";"06598100ET0008";0
"8345695752";R902519461;0
"8358829465";R902120458;0
"8361829353";"03408200ET0001";0
"8363082251";"05713000ET0001";0
"8362205095";"02613900ET0001";0
"8345005483";R902473329;0
"8365327145";R902295160;0
"8363729859";"03303700ET0001";0
"8364159891";"08677200ET0001";0
"8364832787";"07369400ET0001";0
"8363920751";"07073500ET0001";0
"8361577728";"05037210ET0001";0
"8363741899";"05848900ET0001";0
"8365629874";"07156400ET0001";0
"8363734976";"07143510ET0001";0
"8351329252";R000000892;0
"8364357662";"01777000ET0004";0
"8362959608";R909449874;0
"8363005601";"04548200ET0001";0
"8365560443";"03082100ET0001";0
"8365241298";"00271120ET0001";0
"1039091175";"08837000ET0001";0
"1039091427";"02436000ET0025";0
"8365058599";"04552900ET0001";0
"8365032766";"02720100ET0001";0
"8356599919";R902120458;0
"8337778111";R913000823;0
"8364023796";"04314200ET0001";0
"8363717320";"00277300ET0001";0
"8363654731";"07767780ET0001";0
"8365640848";"09345500ET0001";0
"8196159854";R000000892;0
"8362365577";"09152130ET0001";0
"8365579964";"04430200ET0001";0
"8355247309";R902153642;0
"8363372260";"02458000ET0001";0
"1039091625";"07764160ET0001";0
"8346508624";R902470175;0
"8365492195";"00572400ET0001";0
"8351329887";R000000892;0
"8364149755";"08093330ET0001";0
"8364149526";"08198170ET0001";0
"8364007178";"08580500ET0001";0
"1038992565";R902272792;0
"1039091533";"01259200ET0001";0
"8363372260";"01875500ET0001";0
"8365067645";"000000000000173475";0
"8365589604";R000000892;0
"8364186514";"02226100ET0001";0
"8340365230";R902469597;0
"8362784910";"07197700ET0001";0
"8364193796";"06344500ET0001";0
"8364773486";"05850900ET0001";0
"8365491174";R902151681;0
"8361736637";"06975200ET0001";0
"1039091151";"09001410ET0001";0
"8365309547";"03851710ET0001";0
