"PALNR";"PLATZ";"Einlagerung";"letzte_Bewegung";"Verweildauer";"ABC_Klasse_System";"ABC_Klasse_Neu"
"8362199783";"020406407";2025-09-02 00:00:00.000;2025-09-04 00:00:00.000;176;C;
"8350427812";"021204505";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;A;A
"8350426334";"021204605";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;C;A
"8350425757";"021203505";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;C;A
"8350425788";"021303905";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;A;A
"8350427683";"021305306";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;C;A
"8350427775";"021304505";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;A;A
"8350427805";"021304206";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;A;A
"8350427706";"021305705";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;A;A
"8350519463";"021305301";2025-09-04 00:00:00.000;2025-09-04 00:00:00.000;176;C;B
"8350426341";"021204406";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;C;A
"8362190346";"020303104";2025-09-02 00:00:00.000;2025-09-04 00:00:00.000;176;B;
"8350426365";"021203405";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;C;A
"8362187049";"020401101";2025-09-02 00:00:00.000;2025-09-04 00:00:00.000;176;B;
"8350427744";"021201806";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;C;A
"8350426358";"021204306";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;C;A
"8350427676";"021305006";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;A;A
"8350425788";"021303905";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;C;A
"8361900694";"020501400";2025-08-28 00:00:00.000;2025-09-04 00:00:00.000;176;B;
"8350426334";"021204605";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;A;A
"8350427683";"021305306";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;A;A
"8350427676";"021305006";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;C;A
"8350426365";"021203405";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;A;A
"8350427812";"021204505";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;C;A
"8350427713";"021202105";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;C;A
"8350427775";"021304505";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;C;A
"8362043321";"020804800";2025-08-29 00:00:00.000;2025-09-04 00:00:00.000;176;C;
"8350497549";"020901904";2025-09-04 00:00:00.000;2025-09-04 00:00:00.000;176;C;
"8361899783";"020501400";2025-08-29 00:00:00.000;2025-09-04 00:00:00.000;176;C;
"8350426358";"021204306";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;A;A
"8350427805";"021304206";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;C;A
"8350427782";"021304506";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;A;A
"8350427782";"021304506";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;C;A
"8362336409";"020407401";2025-08-28 00:00:00.000;2025-09-04 00:00:00.000;176;A;
"8350427768";"021202005";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;A;A
"8362235634";"021400603";2025-09-01 00:00:00.000;2025-09-04 00:00:00.000;176;A;
"8350427744";"021201806";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;A;A
"8362260902";"021302000";2025-08-29 00:00:00.000;2025-09-05 00:00:00.000;175;B;
"8362243493";"021603401";2025-09-01 00:00:00.000;2025-09-05 00:00:00.000;175;B;
"8362385094";"020403103";2025-09-01 00:00:00.000;2025-09-05 00:00:00.000;175;A;
"8362336300";"020407401";2025-09-03 00:00:00.000;2025-09-05 00:00:00.000;175;C;
"8362313721";"020906402";2025-08-28 00:00:00.000;2025-09-05 00:00:00.000;175;A;
"8362369124";"020506700";2025-08-29 00:00:00.000;2025-09-05 00:00:00.000;175;A;
"8362258961";"020603903";2025-09-01 00:00:00.000;2025-09-05 00:00:00.000;175;A;
"8362338113";"020505303";2025-08-29 00:00:00.000;2025-09-05 00:00:00.000;175;B;
"8350553023";"021606504";2025-09-04 00:00:00.000;2025-09-05 00:00:00.000;175;X;B
"8362239007";"020903201";2025-08-28 00:00:00.000;2025-09-05 00:00:00.000;175;A;
"8350553023";"021606504";2025-09-04 00:00:00.000;2025-09-05 00:00:00.000;175;C;B
"8362442551";"021105905";2025-09-05 00:00:00.000;2025-09-05 00:00:00.000;175;A;
"8362365645";"021506300";2025-08-28 00:00:00.000;2025-09-05 00:00:00.000;175;A;
"8362392535";"020701508";2025-09-02 00:00:00.000;2025-09-08 00:00:00.000;172;C;
"8362392498";"020701508";2025-09-02 00:00:00.000;2025-09-08 00:00:00.000;172;A;
"8362218736";"021607702";2025-08-28 00:00:00.000;2025-09-08 00:00:00.000;172;A;
"8362664861";"020705501";2025-09-05 00:00:00.000;2025-09-08 00:00:00.000;172;B;
"8362664922";"020705501";2025-09-05 00:00:00.000;2025-09-08 00:00:00.000;172;B;
"8350764030";"022004104";2025-09-08 00:00:00.000;2025-09-08 00:00:00.000;172;C;
"8362373725";"021206701";2025-09-02 00:00:00.000;2025-09-08 00:00:00.000;172;C;
"8362346323";"020603601";2025-08-28 00:00:00.000;2025-09-08 00:00:00.000;172;B;
"8362533471";"020901304";2025-09-02 00:00:00.000;2025-09-08 00:00:00.000;172;B;
"8362669651";"020406707";2025-09-04 00:00:00.000;2025-09-08 00:00:00.000;172;A;
"8362661716";"020705001";2025-09-02 00:00:00.000;2025-09-08 00:00:00.000;172;C;
"8350880785";"022303506";2025-09-09 00:00:00.000;2025-09-09 00:00:00.000;171;C;A
"8350880730";"022305306";2025-09-09 00:00:00.000;2025-09-09 00:00:00.000;171;A;A
"8350880693";"022305806";2025-09-09 00:00:00.000;2025-09-09 00:00:00.000;171;A;A
"8350764054";"020203004";2025-09-08 00:00:00.000;2025-09-09 00:00:00.000;171;C;C
"8362652530";"020706800";2025-09-04 00:00:00.000;2025-09-09 00:00:00.000;171;A;
"8362750700";"021302507";2025-09-02 00:00:00.000;2025-09-09 00:00:00.000;171;A;
"8362723735";"021703904";2025-09-02 00:00:00.000;2025-09-09 00:00:00.000;171;B;
"8362350610";"020403803";2025-08-28 00:00:00.000;2025-09-09 00:00:00.000;171;A;
"8350880747";"022305506";2025-09-09 00:00:00.000;2025-09-09 00:00:00.000;171;C;A
"8350880792";"022303306";2025-09-09 00:00:00.000;2025-09-09 00:00:00.000;171;C;A
"8362723704";"021906004";2025-09-02 00:00:00.000;2025-09-09 00:00:00.000;171;B;
"8350880792";"022303306";2025-09-09 00:00:00.000;2025-09-09 00:00:00.000;171;A;A
"8362743450";"020604907";2025-09-02 00:00:00.000;2025-09-09 00:00:00.000;171;B;
"8350880747";"022305506";2025-09-09 00:00:00.000;2025-09-09 00:00:00.000;171;A;A
"8362350399";"020403803";2025-08-29 00:00:00.000;2025-09-09 00:00:00.000;171;C;
"8350814285";"022200310";2025-09-09 00:00:00.000;2025-09-09 00:00:00.000;171;A;B
"8350880761";"022303206";2025-09-09 00:00:00.000;2025-09-09 00:00:00.000;171;A;A
"8362611704";"020802406";2025-08-29 00:00:00.000;2025-09-09 00:00:00.000;171;B;
"8350880761";"022303206";2025-09-09 00:00:00.000;2025-09-09 00:00:00.000;171;C;A
"8350880693";"022305806";2025-09-09 00:00:00.000;2025-09-09 00:00:00.000;171;C;A
"8350880716";"022306506";2025-09-09 00:00:00.000;2025-09-09 00:00:00.000;171;C;A
"8350880785";"022303506";2025-09-09 00:00:00.000;2025-09-09 00:00:00.000;171;A;A
"8350880778";"022302906";2025-09-09 00:00:00.000;2025-09-09 00:00:00.000;171;C;A
"8362731105";"021601104";2025-09-03 00:00:00.000;2025-09-09 00:00:00.000;171;A;
"8350880778";"022302906";2025-09-09 00:00:00.000;2025-09-09 00:00:00.000;171;A;A
"8350880754";"022304606";2025-09-09 00:00:00.000;2025-09-09 00:00:00.000;171;A;A
"8362531316";"021206004";2025-09-01 00:00:00.000;2025-09-09 00:00:00.000;171;A;
"8362783555";"020901003";2025-09-04 00:00:00.000;2025-09-09 00:00:00.000;171;C;
"8362784941";"021004707";2025-09-02 00:00:00.000;2025-09-09 00:00:00.000;171;C;
"8350814285";"022200310";2025-09-09 00:00:00.000;2025-09-09 00:00:00.000;171;C;B
"8350880808";"022306906";2025-09-09 00:00:00.000;2025-09-09 00:00:00.000;171;A;A
"8350880808";"022306906";2025-09-09 00:00:00.000;2025-09-09 00:00:00.000;171;C;A
"8350880754";"022304606";2025-09-09 00:00:00.000;2025-09-09 00:00:00.000;171;C;A
"8362664854";"020705501";2025-08-29 00:00:00.000;2025-09-09 00:00:00.000;171;B;
"8362737695";"020402700";2025-08-28 00:00:00.000;2025-09-09 00:00:00.000;171;C;
"8350880815";"022304406";2025-09-09 00:00:00.000;2025-09-09 00:00:00.000;171;A;A
"8362442971";"020501105";2025-09-02 00:00:00.000;2025-09-09 00:00:00.000;171;C;
"8350880815";"022304406";2025-09-09 00:00:00.000;2025-09-09 00:00:00.000;171;C;A
"8362615726";"020905400";2025-09-01 00:00:00.000;2025-09-09 00:00:00.000;171;B;
"8362748554";"020703703";2025-09-01 00:00:00.000;2025-09-09 00:00:00.000;171;A;
"8350880730";"022305306";2025-09-09 00:00:00.000;2025-09-09 00:00:00.000;171;C;A
"8350880709";"022306806";2025-09-09 00:00:00.000;2025-09-09 00:00:00.000;171;C;A
"8362474897";"020501300";2025-08-29 00:00:00.000;2025-09-09 00:00:00.000;171;C;
"8362731112";"021600805";2025-09-02 00:00:00.000;2025-09-09 00:00:00.000;171;A;
"8350880716";"022306506";2025-09-09 00:00:00.000;2025-09-09 00:00:00.000;171;A;A
"8362504761";"021205301";2025-09-03 00:00:00.000;2025-09-09 00:00:00.000;171;A;
"8350880709";"022306806";2025-09-09 00:00:00.000;2025-09-09 00:00:00.000;171;A;A
"8362488566";"021306300";2025-08-28 00:00:00.000;2025-09-09 00:00:00.000;171;C;
