"ARTIKELNR";"Haeufigkeit";"kum_anteil_SKU";"kum_anteil_OL";"ABC_Klasse";"vorherige_ABC_Klasse"
R901162655;16425;0.00894;0.82802;A;C
R902603224;12420;0.01788;1.45414;A;C
R902273899;10863;0.02682;2.00177;A;C
R902215658;10401;0.03576;2.52611;A;C
R909831662;10026;0.04470;3.03154;A;C
R902446558;9583;0.05364;3.51464;A;C
R902439437;9261;0.06258;3.98151;A;C
R902439616;9240;0.07152;4.44732;A;C
R902273758;9201;0.08046;4.91116;A;C
R902602698;8802;0.08940;5.35489;A;C
R909156745;8778;0.09834;5.79741;A;C
R902460159;8469;0.10728;6.22435;A;C
R913009673;8358;0.11622;6.64569;A;C
R902460787;7614;0.12516;7.02953;A;C
R913043034;7315;0.13410;7.39830;A;C
R902446571;7007;0.14304;7.75154;A;C
R913078779;6880;0.15198;8.09838;A;C
R902602699;6608;0.16092;8.43150;A;C
R902439442;6435;0.16986;8.75590;A;C
R902438137;6342;0.17880;9.07561;A;C
R902272142;6045;0.18774;9.38035;A;C
R901071225;5988;0.19668;9.68222;A;C
R902602890;5973;0.20562;9.98333;A;C
R913054564;5616;0.21456;10.26644;A;C
R902273628;5412;0.22350;10.53927;A;C
R902436846;5362;0.23244;10.80958;A;C
R902279710;5241;0.24138;11.07379;A;C
R902439436;5222;0.25032;11.33704;A;C
R901162844;5205;0.25926;11.59944;A;C
R902279922;5178;0.26820;11.86047;A;C
R902262308;5172;0.27714;12.12120;A;C
R909831179;4995;0.28608;12.37301;A;C
R902603914;4950;0.29502;12.62255;A;C
R909157194;4821;0.30396;12.86559;A;C
R902273757;4803;0.31290;13.10772;A;C
R902272141;4794;0.32184;13.34940;A;C
R900005866;4788;0.33078;13.59077;A;C
R909154399;4750;0.33972;13.83023;A;C
R909831663;4725;0.34866;14.06843;A;C
R902400563;4669;0.35760;14.30380;A;C
R909154398;4650;0.36654;14.53822;A;C
R902051329;4614;0.37548;14.77082;A;C
R902439646;4535;0.38442;14.99944;A;C
R902603443;4312;0.39336;15.21682;A;C
R902006258;4302;0.40230;15.43369;A;C
R902272140;4191;0.41124;15.64497;A;C
R902404260;4180;0.42018;15.85569;A;C
R902439439;4145;0.42912;16.06465;A;C
R913044774;4140;0.43806;16.27336;A;C
R902066600;4137;0.44700;16.48192;A;C
R913027002;4134;0.45594;16.69032;A;C
R902118513;4119;0.46488;16.89797;A;C
R909153104;4054;0.47382;17.10234;A;B
R909831348;3997;0.48276;17.30384;A;C
R902004827;3924;0.49170;17.50166;A;A
R902299827;3820;0.50064;17.69423;A;C
R902007712;3783;0.50958;17.88494;A;C
R902448327;3780;0.51852;18.07550;A;C
R902004873;3770;0.52746;18.26555;A;B
R909156310;3762;0.53640;18.45520;A;C
R902013063;3759;0.54534;18.64470;A;C
R909446763;3717;0.55428;18.83208;A;C
R901462048;3708;0.56322;19.01901;A;C
R902252492;3708;0.57216;19.20594;A;C
R902205416;3705;0.58110;19.39272;A;C
R902252430;3699;0.59004;19.57919;A;C
R902127868;3693;0.59898;19.76536;A;C
R902273898;3693;0.60792;19.95153;A;C
R913010011;3690;0.61686;20.13755;A;C
R902602011;3672;0.62580;20.32266;A;C
R909154344;3669;0.63474;20.50762;A;C
R902066599;3648;0.64368;20.69152;A;C
R902041873;3642;0.65262;20.87512;A;C
R909152775;3633;0.66156;21.05827;A;C
R902210083;3627;0.67050;21.24111;A;C
R902400562;3619;0.67944;21.42355;A;C
R909431891;3615;0.68838;21.60579;A;C
R913007069;3552;0.69732;21.78485;A;C
R902252004;3538;0.70626;21.96321;A;X
R909154293;3492;0.71520;22.13925;A;C
R902291025;3470;0.72414;22.31418;A;C
R913064588;3456;0.73308;22.48840;A;C
R909154382;3453;0.74202;22.66247;A;C
R902105645;3426;0.75096;22.83518;A;C
R909414515;3412;0.75990;23.00719;A;B
R902602013;3390;0.76884;23.17809;A;C
R902118908;3378;0.77778;23.34838;A;C
R902061923;3378;0.78672;23.51867;A;C
R909830083;3354;0.79566;23.68775;A;C
R902191268;3339;0.80460;23.85608;A;C
R909422021;3306;0.81354;24.02274;A;C
R909449810;3270;0.82248;24.18759;A;C
R909651036;3102;0.83142;24.34397;A;C
R909831337;3045;0.84036;24.49748;A;C
R902602206;3010;0.84930;24.64922;A;C
R909650209;2946;0.85824;24.79773;A;C
R902260621;2910;0.86718;24.94443;A;C
R909440537;2868;0.87612;25.08901;A;C
R902205454;2862;0.88506;25.23329;A;C
R909422217;2850;0.89400;25.37696;A;C
R913037188;2754;0.90294;25.51580;A;C
R902460826;2718;0.91188;25.65282;A;C
R909156492;2717;0.92082;25.78979;A;C
R909831574;2715;0.92976;25.92666;A;C
R902283570;2709;0.93870;26.06323;A;C
R902283514;2697;0.94764;26.19919;A;C
R909156497;2673;0.95658;26.33394;A;C
R913027013;2670;0.96552;26.46854;A;C
R902603454;2667;0.97446;26.60299;A;C
R902191286;2631;0.98340;26.73562;A;C
R902192594;2613;0.99234;26.86735;A;C
R902603777;2610;1.00128;26.99893;A;C
R909154687;2589;1.01022;27.12945;A;C
R909831178;2580;1.01916;27.25951;A;C
R917011550;2574;1.02810;27.38927;A;C
R902439442;2574;1.03704;27.51903;A;A
R909083824;2574;1.04598;27.64879;A;C
R909156259;2574;1.05492;27.77855;A;C
R902273759;2526;1.06386;27.90589;A;C
R902007949;2511;1.07280;28.03247;A;C
R909921505;2505;1.08174;28.15875;A;C
R909086498;2496;1.09068;28.28458;A;C
R902195221;2490;1.09962;28.41011;A;C
R909156605;2466;1.10856;28.53443;A;C
R902273950;2436;1.11750;28.65723;A;C
R909083416;2436;1.12644;28.78003;A;C
R913061555;2409;1.13538;28.90147;A;C
R913009057;2408;1.14432;29.02286;A;X
R902003862;2398;1.15326;29.14375;A;A
R902003862;2398;1.16220;29.26464;A;C
R909156493;2352;1.17114;29.38321;A;C
R902213210;2342;1.18008;29.50128;A;A
R902007564;2336;1.18902;29.61904;A;B
R902279657;2328;1.19796;29.73640;A;C
R902007563;2302;1.20690;29.85245;A;B
R909422949;2289;1.21584;29.96784;A;C
R902205455;2250;1.22478;30.08127;A;C
R909435649;2250;1.23372;30.19470;A;C
R909085365;2214;1.24266;30.30631;A;C
R902453793;2205;1.25160;30.41747;A;C
R909083828;2187;1.26054;30.52772;A;C
R902020313;2180;1.26948;30.63762;A;A
R902283565;2172;1.27842;30.74712;A;C
R902213209;2164;1.28736;30.85621;A;A
R902034801;2160;1.29630;30.96510;A;B
R902000693;2152;1.30524;31.07359;A;B
R909921707;2151;1.31418;31.18203;A;C
R902066594;2128;1.32312;31.28931;A;C
R902602741;2115;1.33206;31.39593;A;C
R902272100;2109;1.34100;31.50225;A;C
R902603572;2109;1.34994;31.60857;A;C
R917010105;2091;1.35888;31.71398;A;C
R909831659;2085;1.36782;31.81909;A;C
R909449686;2079;1.37676;31.92390;A;C
R902089147;2073;1.38570;32.02840;A;C
R902191127;2061;1.39464;32.13230;A;C
R913032365;2034;1.40358;32.23484;A;C
R909153104;2027;1.41252;32.33703;A;C
R913038224;2024;1.42146;32.43906;A;C
R909400263;1998;1.43040;32.53978;A;C
R902273806;1990;1.43934;32.64010;A;C
R902076829;1978;1.44828;32.73982;A;B
R902004827;1962;1.45722;32.83873;A;C
R902280484;1956;1.46616;32.93734;A;C
R902105527;1956;1.47510;33.03595;A;A
R909086336;1944;1.48404;33.13395;A;C
R902603696;1944;1.49298;33.23195;A;C
R902602216;1944;1.50192;33.32995;A;C
R902066596;1935;1.51086;33.42750;A;C
R902121243;1929;1.51980;33.52475;A;C
R909400264;1926;1.52874;33.62184;A;C
R902287483;1920;1.53768;33.71863;A;C
R909921997;1914;1.54662;33.81512;A;C
R902127778;1905;1.55556;33.91116;A;C
R909921366;1905;1.56450;34.00720;A;C
R909444842;1899;1.57344;34.10293;A;C
R909921938;1896;1.58238;34.19851;A;C
R902205456;1890;1.59132;34.29379;A;C
R909154688;1888;1.60026;34.38897;A;B
R902004873;1885;1.60920;34.48400;A;C
R902013062;1866;1.61814;34.57807;A;C
R909084419;1866;1.62708;34.67214;A;C
R902600837;1863;1.63602;34.76606;A;C
R909083417;1860;1.64496;34.85983;A;C
R909444589;1844;1.65390;34.95279;A;A
R902602010;1836;1.66284;35.04535;A;C
R902602011;1836;1.67178;35.13791;A;B
R902006254;1833;1.68072;35.23032;A;C
R909921936;1818;1.68966;35.32197;A;C
R902439646;1814;1.69860;35.41342;A;B
R902029526;1804;1.70754;35.50436;A;A
R902103346;1800;1.71648;35.59510;A;C
R902007452;1796;1.72542;35.68564;A;B
R902460846;1791;1.73436;35.77593;A;C
R909157196;1785;1.74330;35.86592;A;C
R902258224;1776;1.75224;35.95545;A;C
R902252004;1769;1.76118;36.04463;A;C
R902244228;1764;1.77012;36.13356;A;C
R909439249;1764;1.77906;36.22249;A;C
R902603697;1756;1.78800;36.31101;A;C
R909922179;1744;1.79694;36.39893;A;X
R902020475;1740;1.80588;36.48665;A;B
R902048381;1725;1.81482;36.57361;A;C
R909083790;1725;1.82376;36.66057;A;C
R000000892;1724;1.83270;36.74748;A;C
R909085360;1713;1.84164;36.83384;A;C
R909831381;1710;1.85058;36.92004;A;C
R909414515;1706;1.85952;37.00604;A;C
R909418545;1704;1.86846;37.09194;A;C
R917012857;1704;1.87740;37.17784;A;C
R909433110;1689;1.88634;37.26299;A;C
R909156665;1689;1.89528;37.34814;A;C
R902278458;1689;1.90422;37.43329;A;C
R902195002;1683;1.91316;37.51813;A;C
R909157197;1680;1.92210;37.60282;A;C
R902010621;1674;1.93104;37.68721;A;C
R902439439;1658;1.93998;37.77079;A;A
R902600839;1656;1.94892;37.85427;A;C
R902602037;1655;1.95786;37.93770;A;C
R902205451;1653;1.96680;38.02103;A;C
R909831203;1650;1.97574;38.10421;A;C
R902039737;1641;1.98468;38.18694;A;C
R909436102;1638;1.99362;38.26952;A;C
R909156100;1635;2.00256;38.35194;A;C
R909831204;1635;2.01150;38.43436;A;C
R909831380;1632;2.02044;38.51663;A;C
R902010571;1632;2.02938;38.59890;A;B
R902118684;1632;2.03832;38.68117;A;C
R909408786;1626;2.04726;38.76314;A;C
R909651680;1626;2.05620;38.84511;A;C
R902010572;1618;2.06514;38.92668;A;B
R902157449;1614;2.07408;39.00805;A;C
R902192958;1614;2.08302;39.08942;A;C
R900748992;1605;2.09196;39.17033;A;C
R902154169;1604;2.10090;39.25119;A;A
R902603002;1590;2.10984;39.33135;A;C
R902602008;1580;2.11878;39.41100;A;C
R909449884;1578;2.12772;39.49055;A;C
R909437084;1575;2.13666;39.56995;A;C
R902117356;1574;2.14560;39.64930;A;A
R913051689;1569;2.15454;39.72840;A;C
R909830383;1568;2.16348;39.80745;A;C
R909400441;1561;2.17242;39.88614;A;C
R902152625;1557;2.18136;39.96463;A;C
R913005584;1545;2.19030;40.04252;A;C
R909830152;1544;2.19924;40.12036;A;X
R909085709;1533;2.20818;40.19764;A;C
R902434839;1533;2.21712;40.27492;A;C
R902603727;1518;2.22606;40.35145;A;C
R902272360;1500;2.23500;40.42707;A;C
R902601471;1497;2.24394;40.50254;A;C
R902280197;1497;2.25288;40.57801;A;C
R902244230;1488;2.26182;40.65302;A;C
R902118767;1488;2.27076;40.72803;A;C
R902152626;1479;2.27970;40.80259;A;C
R909650430;1476;2.28864;40.87700;A;C
R902017521;1470;2.29758;40.95111;A;C
R909152493;1464;2.30652;41.02491;A;C
R902278353;1464;2.31546;41.09871;A;C
R902283569;1461;2.32440;41.17236;A;C
R902192593;1440;2.33334;41.24495;A;C
R913009665;1437;2.34228;41.31739;A;C
R902272376;1436;2.35122;41.38978;A;C
R909830165;1434;2.36016;41.46207;A;C
R902191195;1434;2.36910;41.53436;A;C
R902213233;1432;2.37804;41.60655;A;A
R909156625;1425;2.38698;41.67839;A;C
R913055216;1425;2.39592;41.75023;A;C
R902191260;1425;2.40486;41.82207;A;C
R909086679;1419;2.41380;41.89360;A;C
R913061556;1419;2.42274;41.96513;A;C
R909153685;1416;2.43168;42.03651;A;B
R902191259;1416;2.44062;42.10789;A;X
R902191357;1413;2.44956;42.17912;A;C
R913044948;1407;2.45850;42.25005;A;C
R909921550;1407;2.46744;42.32098;A;C
R909922004;1404;2.47638;42.39176;A;C
R902167368;1404;2.48532;42.46254;A;C
R909083415;1400;2.49426;42.53312;A;C
R902273554;1398;2.50320;42.60360;A;C
R909153245;1398;2.51214;42.67408;A;C
R909921430;1395;2.52108;42.74440;A;C
R902283572;1392;2.53002;42.81457;A;C
R902006260;1392;2.53896;42.88474;A;C
R902120458;1388;2.54790;42.95471;A;C
R902120458;1388;2.55684;43.02468;A;A
R909435254;1386;2.56578;43.09455;A;C
R902006261;1383;2.57472;43.16427;A;C
R902039791;1378;2.58366;43.23374;A;B
R909156496;1368;2.59260;43.30270;A;C
R909449684;1359;2.60154;43.37121;A;C
R909405732;1353;2.61048;43.43942;A;C
R909650228;1350;2.61942;43.50748;A;C
R909606779;1341;2.62836;43.57508;A;C
R902269327;1338;2.63730;43.64253;A;C
R902153456;1332;2.64624;43.70968;A;A
R902192956;1329;2.65518;43.77668;A;C
R902283568;1326;2.66412;43.84353;A;C
R909157582;1320;2.67306;43.91007;A;C
R902130076;1314;2.68200;43.97631;A;C
R902273736;1311;2.69094;44.04240;A;C
R902252295;1308;2.69988;44.10834;A;C
R909154918;1308;2.70882;44.17428;A;C
R902006256;1302;2.71776;44.23992;A;C
R902249196;1299;2.72670;44.30541;A;C
R909650395;1299;2.73564;44.37090;A;C
R902600196;1299;2.74458;44.43639;A;C
R902278082;1296;2.75352;44.50172;A;C
R909831178;1290;2.76246;44.56675;A;A
R909086765;1287;2.77140;44.63163;A;C
R902046983;1284;2.78034;44.69636;A;A
R909830424;1278;2.78928;44.76079;A;C
R902244227;1272;2.79822;44.82491;A;C
R909431554;1270;2.80716;44.88893;A;B
R902124756;1266;2.81610;44.95275;A;C
R909831371;1266;2.82504;45.01657;A;C
R909443447;1266;2.83398;45.08039;A;C
R902603223;1263;2.84292;45.14406;A;C
R902602012;1256;2.85186;45.20738;A;C
R930070446;1242;2.86080;45.26999;A;C
R902031286;1239;2.86974;45.33245;A;C
R909431514;1239;2.87868;45.39491;A;C
R909435465;1230;2.88762;45.45692;A;C
R902086354;1227;2.89656;45.51878;A;C
R909832131;1224;2.90550;45.58048;A;C
R902273960;1221;2.91444;45.64203;A;C
R902269324;1221;2.92338;45.70358;A;C
R902025649;1215;2.93232;45.76483;A;C
R913009057;1204;2.94126;45.82553;A;C
R902272227;1203;2.95020;45.88618;A;C
R902603132;1200;2.95914;45.94667;A;C
R902114380;1197;2.96808;46.00701;A;C
R902205399;1197;2.97702;46.06735;A;C
R902213073;1196;2.98596;46.12764;A;A
R902103347;1182;2.99490;46.18723;A;C
R902072552;1182;3.00384;46.24682;A;C
R909422940;1179;3.01278;46.30626;A;C
R909449885;1179;3.02172;46.36570;A;C
R909156493;1176;3.03066;46.42498;A;A
R909921396;1173;3.03960;46.48411;A;C
R902213210;1171;3.04854;46.54314;A;C
R909085947;1170;3.05748;46.60212;A;C
R902071729;1170;3.06642;46.66110;A;C
R902007564;1168;3.07536;46.71998;A;C
R913022795;1162;3.08430;46.77856;A;C
R902438307;1162;3.09324;46.83714;A;C
R909086465;1160;3.10218;46.89562;A;C
R902278189;1158;3.11112;46.95400;A;C
R902283573;1158;3.12006;47.01238;A;C
R902007563;1151;3.12900;47.07040;A;C
R902603226;1150;3.13794;47.12837;A;C
R902013255;1149;3.14688;47.18629;A;C
R902152624;1149;3.15582;47.24421;A;C
R909087079;1140;3.16476;47.30168;A;C
R902279726;1140;3.17370;47.35915;A;C
R909086487;1136;3.18264;47.41642;A;C
R909154685;1134;3.19158;47.47359;A;C
R902015656;1131;3.20052;47.53061;A;C
R909921506;1131;3.20946;47.58763;A;C
R909921905;1125;3.21840;47.64434;A;C
R909921950;1122;3.22734;47.70090;A;C
R902279591;1119;3.23628;47.75731;A;C
R913063912;1113;3.24522;47.81342;A;C
R902258015;1110;3.25416;47.86938;A;C
R909425694;1104;3.26310;47.92504;A;C
R909650382;1098;3.27204;47.98039;A;C
R902020313;1090;3.28098;48.03534;A;C
R902258222;1089;3.28992;48.09024;A;C
R902205450;1089;3.29886;48.14514;A;C
R902020312;1088;3.30780;48.19999;A;B
R909449750;1086;3.31674;48.25474;A;C
R902213209;1082;3.32568;48.30929;A;C
R902025586;1080;3.33462;48.36374;A;A
R902600194;1080;3.34356;48.41819;A;C
R902086467;1080;3.35250;48.47264;A;C
R902034801;1080;3.36144;48.52709;A;C
R902602207;1078;3.37038;48.58143;A;C
R902600750;1077;3.37932;48.63572;A;C
R902000693;1076;3.38826;48.68996;A;C
R902279658;1072;3.39720;48.74400;A;C
R902195224;1071;3.40614;48.79799;A;C
R902025526;1070;3.41508;48.85193;A;A
R909156249;1068;3.42402;48.90577;A;C
R909831206;1065;3.43296;48.95946;A;C
R909432774;1062;3.44190;49.01300;A;C
R902077943;1054;3.45084;49.06613;A;A
R902228944;1050;3.45978;49.11906;A;C
R902010622;1046;3.46872;49.17179;A;B
R902041931;1040;3.47766;49.22422;A;A
R902041872;1038;3.48660;49.27655;A;C
R909083420;1038;3.49554;49.32888;A;C
R902108608;1035;3.50448;49.38106;A;C
R902210003;1035;3.51342;49.43324;A;C
R909156668;1026;3.52236;49.48496;A;C
R901451360;1023;3.53130;49.53653;A;C
R909830683;1023;3.54024;49.58810;A;C
R902602395;1017;3.54918;49.63937;A;C
R902094214;1014;3.55812;49.69049;A;B
R909156494;1012;3.56706;49.74151;A;C
R902603728;1011;3.57600;49.79248;A;C
R909651520;1011;3.58494;49.84345;A;C
R902136991;1011;3.59388;49.89442;A;C
R902561138;1010;3.60282;49.94534;A;C
R909436083;1008;3.61176;49.99616;A;C
R902061924;1008;3.62070;50.04698;A;C
R902601820;1005;3.62964;50.09764;A;C
R902108518;1002;3.63858;50.14815;A;C
R909400263;999;3.64752;50.19851;A;A
R909921500;998;3.65646;50.24882;A;B
R902279077;996;3.66540;50.29903;A;C
R909831382;990;3.67434;50.34894;A;C
R909421289;990;3.68328;50.39885;A;C
R909921549;990;3.69222;50.44876;A;C
R902076829;989;3.70116;50.49862;A;C
R909433093;987;3.71010;50.54838;A;C
R902097705;984;3.71904;50.59799;A;C
R902037725;984;3.72798;50.64760;A;C
R902603192;984;3.73692;50.69721;A;C
R902272221;981;3.74586;50.74666;A;C
R902013157;981;3.75480;50.79611;A;C
R909651516;981;3.76374;50.84556;A;C
R902602493;980;3.77268;50.89496;A;C
R902105527;978;3.78162;50.94426;A;C
R902244161;975;3.79056;50.99341;A;C
R902283129;975;3.79950;51.04256;A;C
R902130075;975;3.80844;51.09171;A;C
R902191303;974;3.81738;51.14081;A;B
R913037920;972;3.82632;51.18981;A;C
R909084484;972;3.83526;51.23881;A;C
R909154986;972;3.84420;51.28781;A;C
R909830084;966;3.85314;51.33651;A;X
R911342826;966;3.86208;51.38521;A;C
R909400264;963;3.87102;51.43376;A;A
R902139071;963;3.87996;51.48231;A;C
R909443641;960;3.88890;51.53071;A;C
R902272270;951;3.89784;51.57865;A;C
R909651117;951;3.90678;51.62659;A;C
R902025734;951;3.91572;51.67453;A;C
R902108519;951;3.92466;51.72247;A;C
R909154688;944;3.93360;51.77006;A;C
R909449411;939;3.94254;51.81740;A;C
R913002054;939;3.95148;51.86474;A;C
R902192957;933;3.96042;51.91177;A;C
R909424057;927;3.96936;51.95850;A;C
R909444589;922;3.97830;52.00498;A;C
R909444103;922;3.98724;52.05146;A;X
R902278081;921;3.99618;52.09789;A;C
R909156987;918;4.00512;52.14417;A;C
R909085802;915;4.01406;52.19030;A;C
R902603191;910;4.02300;52.23618;A;C
R909074127;909;4.03194;52.28200;A;C
R902013158;909;4.04088;52.32782;A;C
R909651934;906;4.04982;52.37349;A;C
R902157429;906;4.05876;52.41916;A;B
R902600705;906;4.06770;52.46483;A;C
R900012473;906;4.07664;52.51050;A;C
R902603225;905;4.08558;52.55612;A;C
R902029526;902;4.09452;52.60159;A;C
R909830449;900;4.10346;52.64696;A;C
R909087891;900;4.11240;52.69233;A;C
R902007452;898;4.12134;52.73760;A;C
R902008516;897;4.13028;52.78282;A;C
R902066586;897;4.13922;52.82804;A;C
R902600558;894;4.14816;52.87311;A;C
R909153801;894;4.15710;52.91818;A;C
R909831918;894;4.16604;52.96325;A;C
R902127981;892;4.17498;53.00822;A;B
R909083490;891;4.18392;53.05314;A;C
R913009664;891;4.19286;53.09806;A;C
R902258018;890;4.20180;53.14293;A;C
R902600641;888;4.21074;53.18770;A;C
R902010113;888;4.21968;53.23247;A;C
R902041870;888;4.22862;53.27724;A;C
R902025360;888;4.23756;53.32201;A;C
R902603576;888;4.24650;53.36678;A;B
R902603908;886;4.25544;53.41145;A;B
R909440739;882;4.26438;53.45591;A;C
R909440770;882;4.27332;53.50037;A;C
R909432414;882;4.28226;53.54483;A;C
R909830217;879;4.29120;53.58914;A;C
R902103278;879;4.30014;53.63345;A;C
R902603697;878;4.30908;53.67771;A;A
R909154686;876;4.31802;53.72187;A;C
R902205417;876;4.32696;53.76603;A;C
R902269309;876;4.33590;53.81019;A;C
R902006259;876;4.34484;53.85435;A;C
R909830578;876;4.35378;53.89851;A;C
R909921744;873;4.36272;53.94252;A;C
R902283571;873;4.37166;53.98653;A;C
R913062815;873;4.38060;54.03054;A;C
R909922179;872;4.38954;54.07450;A;C
R902020475;870;4.39848;54.11836;A;C
R902269149;864;4.40742;54.16192;A;C
R902015532;862;4.41636;54.20538;A;A
R909921902;861;4.42530;54.24878;A;C
R900760728;861;4.43424;54.29218;A;C
R902287209;858;4.44318;54.33543;A;C
R902600557;858;4.45212;54.37868;A;C
R902269317;855;4.46106;54.42178;A;C
R909074126;855;4.47000;54.46488;A;C
R902013251;852;4.47894;54.50783;A;C
R909449607;852;4.48788;54.55078;A;C
R909439740;852;4.49682;54.59373;A;C
R909083822;852;4.50576;54.63668;A;C
R902273769;849;4.51470;54.67948;A;C
R909651665;849;4.52364;54.72228;A;C
R909921660;846;4.53258;54.76493;A;C
R902279935;846;4.54152;54.80758;A;C
R902107488;846;4.55046;54.85023;A;C
R901501559;846;4.55940;54.89288;A;C
R913005586;843;4.56834;54.93538;A;C
R902088157;840;4.57728;54.97773;A;C
R902601927;840;4.58622;55.02008;A;C
R909157343;837;4.59516;55.06227;A;C
R902013438;837;4.60410;55.10446;A;C
R913051687;837;4.61304;55.14665;A;C
R902021902;835;4.62198;55.18874;A;C
R902005492;834;4.63092;55.23078;A;C
R909651184;834;4.63986;55.27282;A;C
R902601649;831;4.64880;55.31471;A;C
R909083380;828;4.65774;55.35645;A;C
R909830726;824;4.66668;55.39799;A;C
R902603442;822;4.67562;55.43943;A;C
R902273957;819;4.68456;55.48072;A;C
R902010571;816;4.69350;55.52186;A;C
R902016301;810;4.70244;55.56269;A;C
R902010572;809;4.71138;55.60347;A;C
R902016302;807;4.72032;55.64415;A;C
R902279834;807;4.72926;55.68483;A;C
R909425870;804;4.73820;55.72536;A;C
R902161587;804;4.74714;55.76589;A;C
R902154169;802;4.75608;55.80632;A;C
R909921290;802;4.76502;55.84675;A;B
R902086450;801;4.77396;55.88713;A;C
R902013627;798;4.78290;55.92736;A;C
R913049007;795;4.79184;55.96744;A;C
R902240832;792;4.80078;56.00737;A;C
R902079125;790;4.80972;56.04720;A;X
R902117356;787;4.81866;56.08687;A;C
R902039743;786;4.82760;56.12649;A;B
R902087676;783;4.83654;56.16596;A;C
R902600983;780;4.84548;56.20528;A;C
R909651524;780;4.85442;56.24460;A;C
R902115384;777;4.86336;56.28377;A;C
R902025645;777;4.87230;56.32294;A;C
R902195232;774;4.88124;56.36196;A;C
R909830955;774;4.89018;56.40098;A;C
R909921262;774;4.89912;56.44000;A;B
R909830152;772;4.90806;56.47892;A;C
R909156309;771;4.91700;56.51779;A;C
R909921000;771;4.92594;56.55666;A;C
R902071730;768;4.93488;56.59538;A;C
R909078189;766;4.94382;56.63400;A;B
R902024999;765;4.95276;56.67257;A;C
R902295328;762;4.96170;56.71098;A;C
R902105529;762;4.97064;56.74939;A;A
R909651116;762;4.97958;56.78780;A;C
R902029541;762;4.98852;56.82621;A;C
R909083412;760;4.99746;56.86452;A;C
R902010628;760;5.00640;56.90283;A;A
R902066603;759;5.01534;56.94109;A;C
R902278003;759;5.02428;56.97935;A;C
R902127870;759;5.03322;57.01761;A;C
R909084462;759;5.04216;57.05587;A;C
R909449687;756;5.05110;57.09398;A;C
R909152146;753;5.06004;57.13194;A;C
R902601818;753;5.06898;57.16990;A;C
R909830741;753;5.07792;57.20786;A;C
R909074125;752;5.08686;57.24577;A;C
R902110177;750;5.09580;57.28358;A;C
R902603730;750;5.10474;57.32139;A;C
R913057293;747;5.11368;57.35905;A;C
R902025361;747;5.12262;57.39671;A;C
R909921893;747;5.13156;57.43437;A;C
R909435304;746;5.14050;57.47198;A;B
R902008558;746;5.14944;57.50959;A;A
R902066020;744;5.15838;57.54710;A;C
R902035509;744;5.16732;57.58461;A;C
R913057957;744;5.17626;57.62212;A;C
R902272275;741;5.18520;57.65948;A;C
R902210002;741;5.19414;57.69684;A;C
R909443007;741;5.20308;57.73420;A;C
R902020483;740;5.21202;57.77151;A;B
R902272286;735;5.22096;57.80856;A;C
R902192959;735;5.22990;57.84561;A;C
R913016373;735;5.23884;57.88266;A;C
R909650811;735;5.24778;57.91971;A;C
R909443163;735;5.25672;57.95676;A;C
R909921658;732;5.26566;57.99366;A;C
R902139567;732;5.27460;58.03056;A;C
R909443205;732;5.28354;58.06746;A;C
R902262330;732;5.29248;58.10436;A;C
R909449590;732;5.30142;58.14126;A;C
R902006264;732;5.31036;58.17816;A;C
R902278173;732;5.31930;58.21506;A;C
R902254835;729;5.32824;58.25181;A;C
R902460828;729;5.33718;58.28856;A;C
R909921522;729;5.34612;58.32531;A;C
R902283566;729;5.35506;58.36206;A;C
R911342831;726;5.36400;58.39866;A;C
R902041871;726;5.37294;58.43526;A;C
R909086324;726;5.38188;58.47186;A;C
R902030366;723;5.39082;58.50831;A;C
R902131310;718;5.39976;58.54451;A;A
R902272319;717;5.40870;58.58066;A;C
R902213233;716;5.41764;58.61676;A;C
R913058071;716;5.42658;58.65286;A;C
R902006499;714;5.43552;58.68885;A;C
R902283852;714;5.44446;58.72484;A;C
R902252491;711;5.45340;58.76068;A;C
R909153685;708;5.46234;58.79637;A;C
R902118818;708;5.47128;58.83206;A;C
R909651473;708;5.48022;58.86775;A;C
R902191259;708;5.48916;58.90344;A;C
R902136614;708;5.49810;58.93913;A;C
R909415314;708;5.50704;58.97482;A;C
R902127788;705;5.51598;59.01036;A;C
R909651163;705;5.52492;59.04590;A;C
R909449683;705;5.53386;59.08144;A;C
R902603577;699;5.54280;59.11668;A;C
R909650387;699;5.55174;59.15192;A;C
R902041910;698;5.56068;59.18711;A;A
R902136754;696;5.56962;59.22220;A;C
R902272900;696;5.57856;59.25729;A;C
R909921903;696;5.58750;59.29238;A;C
R909830326;693;5.59644;59.32732;A;C
R902603909;693;5.60538;59.36226;A;C
R902241504;690;5.61432;59.39704;A;C
R902226670;690;5.62326;59.43182;A;C
R902191125;690;5.63220;59.46660;A;C
R902272296;690;5.64114;59.50138;A;C
R902039791;689;5.65008;59.53611;A;C
R909156491;688;5.65902;59.57079;A;C
R913055715;687;5.66796;59.60542;A;C
R902230973;686;5.67690;59.64000;A;B
R902020375;684;5.68584;59.67448;A;A
R902272285;684;5.69478;59.70896;A;C
R909426176;684;5.70372;59.74344;A;C
R909831379;684;5.71266;59.77792;A;C
R902064146;684;5.72160;59.81240;A;X
R902205414;684;5.73054;59.84688;A;C
R909154609;681;5.73948;59.88121;A;C
R902273248;681;5.74842;59.91554;A;C
R902601794;678;5.75736;59.94972;A;C
